1,South Selenaview Athletic,19,29,0,22,3794108
2,Lake Karlaland Athletic,48,0,0,1,3654257
3,Robertburgh Athletic,35,5,8,4,3538159
4,Port Ryan Athletic,20,21,7,17,550011
5,Johnport United,32,2,14,5,1417223
6,Lake Marc Athletic,29,8,11,8,1291628
7,North Douglasberg United,3,41,4,25,955936
8,Brandonside City,16,13,19,13,723770
9,Alyssamouth Athletic,11,32,5,23,3701571
10,Marietown Athletic,10,35,3,24,309127
11,East Toddmouth United,17,19,12,18,1887523
12,East Richard United,19,27,2,21,1650490
13,Port Matthewbury FC,28,5,15,7,1142371
14,Port Courtney City,22,19,7,14,301759
15,Bradfordstad City,37,10,1,6,2073953
16,Nathanchester Athletic,27,18,3,10,1869095
17,Deanbury FC,43,0,5,2,3093746
18,Meganbury Athletic,38,4,6,3,447276
19,North Harry FC,4,2,42,16,233476
20,Lake Aaron City,11,2,35,11,1126848
21,Austinside United,30,18,0,9,1138482
22,North Donnaland United,23,14,11,12,765849
23,Douglastown United,19,24,5,20,3300590
24,Haleyville United,25,22,1,15,3805361
25,South Bradley Athletic,6,9,33,19,1665578
